epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
58,63221.2,0.90706,0.88451,1.30678,0.02953,0.72197,0.67002,0.73026,0.52681,0.98276,1.02662,1.43494,0.03533,0.00056734,0.00056734,0.00056734
59,64344.7,0.8994,0.879,1.30267,0.02896,0.76921,0.64113,0.72952,0.52784,0.98882,1.01806,1.42989,0.03534,0.000545733,0.000545733,0.000545733
60,65455.6,0.89583,0.86644,1.29408,0.03025,0.76119,0.64848,0.73522,0.53341,0.98435,0.99701,1.43919,0.03441,0.000524299,0.000524299,0.000524299
61,66612.4,0.88628,0.85694,1.28521,0.02878,0.74266,0.65749,0.72904,0.53125,0.97967,1.021,1.42214,0.03562,0.00050306,0.00050306,0.00050306
62,67862.3,0.88958,0.85833,1.29595,0.03049,0.75038,0.67088,0.73594,0.53796,0.97384,0.99056,1.42112,0.03476,0.000482037,0.000482037,0.000482037
63,69061.4,0.87288,0.83147,1.27928,0.02845,0.78663,0.63906,0.73857,0.53829,0.96565,1.0011,1.41531,0.03358,0.00046125,0.00046125,0.00046125
64,70233.1,0.87062,0.82956,1.27804,0.02898,0.75387,0.6755,0.74026,0.54195,0.96523,0.98071,1.40179,0.03387,0.00044072,0.00044072,0.00044072
65,71375.6,0.86208,0.8194,1.27415,0.02691,0.7497,0.67707,0.74064,0.54507,0.95657,0.97449,1.40578,0.03445,0.000420468,0.000420468,0.000420468
66,72517.8,0.86724,0.81648,1.28194,0.02898,0.76657,0.66299,0.74348,0.54546,0.95422,0.98073,1.39728,0.03347,0.000400513,0.000400513,0.000400513
67,73670,0.85853,0.79681,1.27124,0.02853,0.77762,0.65633,0.742,0.54821,0.95579,0.96935,1.41528,0.03299,0.000380874,0.000380874,0.000380874
68,74816.9,0.84545,0.79596,1.2712,0.02834,0.77589,0.67021,0.74318,0.54679,0.95231,0.96608,1.40265,0.03371,0.000361572,0.000361572,0.000361572
69,75948.4,0.84179,0.79551,1.26039,0.02739,0.78679,0.66987,0.75446,0.55553,0.95499,0.95348,1.40527,0.03228,0.000342625,0.000342625,0.000342625
70,77066.6,0.83855,0.78187,1.26254,0.0262,0.78685,0.65657,0.74464,0.55063,0.95009,0.97456,1.39821,0.03265,0.000324053,0.000324053,0.000324053
71,78197.1,0.84185,0.77904,1.26413,0.02821,0.78362,0.66554,0.7572,0.55963,0.93745,0.94543,1.38827,0.03272,0.000305872,0.000305872,0.000305872
72,79318.3,0.84617,0.77867,1.25183,0.02656,0.78675,0.66999,0.75473,0.56052,0.93726,0.94159,1.39774,0.03226,0.000288102,0.000288102,0.000288102
73,80420.8,0.81882,0.75642,1.23533,0.02685,0.76425,0.69293,0.75589,0.55794,0.93493,0.93845,1.39362,0.03146,0.00027076,0.00027076,0.00027076
74,81520.3,0.82461,0.76058,1.24264,0.02626,0.80925,0.66121,0.75549,0.56237,0.92944,0.93508,1.38447,0.03274,0.000253863,0.000253863,0.000253863
75,82617.3,0.82273,0.75567,1.23947,0.027,0.7769,0.68852,0.75877,0.56547,0.92602,0.92932,1.38024,0.03197,0.000237427,0.000237427,0.000237427
76,83729.9,0.81031,0.73682,1.22538,0.02656,0.8129,0.66409,0.75779,0.56412,0.92202,0.92403,1.37645,0.03188,0.000221469,0.000221469,0.000221469
77,84843,0.81916,0.73444,1.22498,0.02534,0.78949,0.69157,0.75945,0.56413,0.9269,0.92657,1.38176,0.03211,0.000206005,0.000206005,0.000206005
78,85951.9,0.81094,0.73968,1.2295,0.02621,0.76755,0.70303,0.76321,0.56962,0.92659,0.91559,1.37907,0.03141,0.00019105,0.00019105,0.00019105
79,87054.2,0.81521,0.74133,1.23298,0.02654,0.8051,0.68514,0.76396,0.56705,0.92221,0.91469,1.37845,0.03186,0.000176619,0.000176619,0.000176619
80,88155.6,0.80719,0.72572,1.21966,0.02689,0.76631,0.70601,0.76685,0.57003,0.91661,0.90679,1.37101,0.03172,0.000162725,0.000162725,0.000162725
81,89268.6,0.80029,0.72302,1.22035,0.02514,0.78069,0.69991,0.76586,0.5705,0.91628,0.90345,1.37631,0.03127,0.000149383,0.000149383,0.000149383
82,90380.2,0.79875,0.72086,1.22018,0.02582,0.7906,0.69565,0.76758,0.57186,0.91791,0.90608,1.37924,0.03196,0.000136605,0.000136605,0.000136605
