epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
72,22374.1,1.05127,1.08249,1.35164,0.03335,0.62594,0.58914,0.62361,0.42668,1.13515,1.26468,1.46373,0.0396,0.000424556,0.000424556,0.000424556
73,22710.5,1.02079,1.05472,1.33333,0.03428,0.67285,0.57008,0.63892,0.43464,1.12395,1.23254,1.45183,0.04017,0.000410409,0.000410409,0.000410409
74,23047.7,1.03204,1.07237,1.34646,0.03383,0.6799,0.58471,0.64541,0.44588,1.10595,1.2162,1.43939,0.03958,0.000396262,0.000396262,0.000396262
75,23383.3,1.03048,1.05517,1.34466,0.03505,0.66108,0.58616,0.64599,0.44273,1.10307,1.20944,1.43454,0.0401,0.000382115,0.000382115,0.000382115
76,23721.5,1.01885,1.03573,1.32514,0.03339,0.67539,0.58059,0.64254,0.4406,1.11429,1.24047,1.44083,0.03911,0.000367967,0.000367967,0.000367967
77,24061.7,1.03038,1.03895,1.32551,0.03298,0.66763,0.58009,0.64544,0.4455,1.10703,1.21307,1.4415,0.03995,0.00035382,0.00035382,0.00035382
78,24399,1.01585,1.04241,1.3275,0.03372,0.68235,0.58316,0.64559,0.44385,1.10971,1.21589,1.44598,0.0401,0.000339673,0.000339673,0.000339673
79,24735,1.02941,1.05068,1.33663,0.03456,0.6796,0.57546,0.64632,0.44685,1.1017,1.20825,1.43259,0.03976,0.000325526,0.000325526,0.000325526
80,25073.5,1.02188,1.03416,1.32342,0.03422,0.68772,0.56698,0.64301,0.44306,1.09852,1.22512,1.42401,0.03825,0.000311379,0.000311379,0.000311379
81,25409.5,1.01817,1.03047,1.322,0.03306,0.6884,0.58919,0.65114,0.4462,1.11558,1.21383,1.44749,0.03934,0.000297232,0.000297232,0.000297232
82,25745.5,1.0103,1.02235,1.32503,0.03357,0.66659,0.5938,0.64904,0.45071,1.10233,1.20291,1.43648,0.04,0.000283085,0.000283085,0.000283085
83,26083.8,1.0216,1.03827,1.33196,0.03435,0.69665,0.57658,0.6527,0.44981,1.0985,1.20382,1.43448,0.03951,0.000268938,0.000268938,0.000268938
84,26419.4,1.00559,1.01138,1.32528,0.0335,0.67957,0.59502,0.65421,0.45354,1.09466,1.19355,1.43621,0.03969,0.000254791,0.000254791,0.000254791
85,26757,1.00395,1.00693,1.30949,0.03319,0.72135,0.56509,0.65207,0.4555,1.0829,1.19095,1.41453,0.03969,0.000240644,0.000240644,0.000240644
86,27093.4,1.00422,1.01567,1.32619,0.03439,0.683,0.59769,0.65948,0.45755,1.08645,1.18493,1.42925,0.03908,0.000226497,0.000226497,0.000226497
87,27428.8,1.00126,1.00158,1.31975,0.0337,0.69814,0.59018,0.66052,0.4579,1.09661,1.18368,1.42339,0.03995,0.000212349,0.000212349,0.000212349
